gender,education,cue,n,api_calls,system_prompt,prompt,responses
female,high school,problem-solving,24,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'problem-solving'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Critical thinking, puzzles, teamwork, challenges, creativity; brainstorming, solutions, communication, patience, research; analytical thinking, planning, decision making, trial and error, flexibility; negotiation, innovation, strategy, perseverance, collaboration; education, studying, math problems, logic, resourcefulness; adaptability, curiosity, asking for help, listening, leadership; organization, goal setting, troubleshooting, mediation, observation; experimentation, ambition, self-learning, reflection, intuition; determination, conflict resolution, time management, curiosity, optimization; empathy, understanding, knowledge, multitasking, foresight."
female,high school,problem-solving,24,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'problem-solving'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Brainstorming, puzzles, math problems, teamwork, creativity; Communication, research, strategy, trial and error, critical thinking; Patience, solution-focused, negotiation, analysis, decision making; Logical thinking, observation, adaptability, perseverance, asking for help; Innovation, collaboration, learning from mistakes, organization, leadership; Stress management, goal setting, curiosity, time management, flexibility; Empathy, conflict resolution, positive attitude, determination, resourcefulness; Planning, listening, detail-oriented, intuition, prioritization; Visualization, motivation, self-discipline, open-mindedness, reflection; Risk assessment, project management, coding, mentoring, consult literature."
female,high school,problem-solving,24,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'problem-solving'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Critical thinking, brainstorming, teamwork, research, persistence; Creativity, patience, trial and error, solution, satisfaction; Decision making, asking for help, strategy, adaptability, success; Analysis, logic, communication, negotiation, challenge; Planning, organization, multitasking, focus, learning; Detail-oriented, proactive, open-mindedness, curiosity, resilience; Leadership, goal-setting, empathy, conflict resolution, achievement; Deduction, intuition, collaboration, innovation, determination; Independence, education, self-improvement, feedback, optimization; Initiative, resourcefulness, analytical skills, motivation, accomplishment."
female,high school,creativity,23,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'creativity'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Art, music, writing, invention, imagination; Painting, poetry, design, brainstorming, innovation; Crafting, drawing, problem-solving, dance, graffiti; Sculpture, fashion, photography, cooking, digital art; Jewelry-making, storytelling, theater, landscaping, mural painting; Sketching, singing, origami, quilting, pottery; Improvisation, blogging, makeup artistry, interior decorating, DIY projects; Animation, calligraphy, woodworking, video editing, costume design; Upcycling, embroidery, baking, filmmaking, collage; Knitting, web design, puppetry, floral arrangement, novel writing."
female,high school,creativity,23,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'creativity'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Painting, writing, music composition, dance, fashion design; innovation, brainstorming, problem-solving, imagination, art classes; color palettes, clay modeling, graphic design, poetry, DIY projects; crafting, photography, interior design, makeup artistry, storytelling; drawing, film making, theater acting, costume design, culinary arts; sketching, novel writing, piano playing, ballet, web design; mural creation, scrapbooking, jewelry making, animation, songwriting; pottery, quilting, woodworking, architecture, game development; collage, blogging, videography, digital illustration, voice acting; origami, embroidery, stand-up comedy, sculpture, scriptwriting."
female,high school,creativity,23,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'creativity'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Art, music, writing, innovation, imagination; painting, poetry, design, problem-solving, ingenuity; fashion, dance, sculpture, brainstorming, crafting; invention, storytelling, drawing, theater, experimentation; photography, cooking, improvisation, video games, decorating; architecture, makeup, gardening, filmmaking, daydreaming; knitting, jewelry making, DJing, blogging, repurposing; embroidery, graphic design, comedy, animation, web design; mural making, ceramics, coding, puppetry, collage making; singing, sketching, upcycling, DIY projects, quilting."
female,high school,critical thinking,22,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'critical thinking'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Problem-solving, Analysis, Decision-making, Logic, Skepticism; Curiosity, Independent thinking, Evidence, Rationality, Objective; Open-mindedness, Creativity, Reflective thinking, Judgement, Clarity; Information evaluation, Insight, Perspective, Dissection, Understanding; Debate, Inquiry, Introspection, Innovation, Reason; Arguments, Evaluation, Depth of understanding, Coherence, Perspective-taking; Judgment, Bias identification, Fact-checking, Differentiation, Elaboration; Questioning, Scrutiny, Comprehension, Synthesis, Interpretation; Cognitive skills, Analytical ability, Intellectual discipline, Deduction, Assessment; Challenging assumptions, Structured thinking, Critical discourse, Analyzing information, Self-awareness."
female,high school,critical thinking,22,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'critical thinking'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Analysis, problem-solving, judgement, research, open-mindedness; Decision making, logic, questioning, evaluation, skepticism; Reflection, debate, understanding, curiosity, evidence; Perspective, reasoning, clarity, innovation, discernment; Education, brainstorming, skepticism, inference, conclusion; Argument, awareness, insight, bias, interpretation; Intelligence, creativity, skepticism, challenge, solution; Observation, comparison, comprehension, intuition, skepticism; Strategy, examination, skepticism, exploration, hypothesis; Learning, critical feedback, skepticism, deduction, adaptability."
female,high school,critical thinking,22,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'critical thinking'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Analysis, problem-solving, decision-making, research, evaluation; logic, questioning, creativity, skepticism, open-mindedness; reflection, self-awareness, evidence, biases, conclusions; interpretation, argument, clarity, rationality, understanding; scrutinizing, curiosity, innovation, debate, information; judgment, perspective, accuracy, thoroughness, insight; cognitive skills, reasoning, objectivity, intellectual, empowerment; discernment, hypotheses, analytical thinking, constructive criticism, informed opinions; intellectual rigor, skepticism, comprehension, complexity, solutions; critical discourse, thoughtfulness, inquiry, skepticism, deduction."
female,high school,research,22,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'research'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Library, Google, science project, college, laboratory; experiments, data, surveys, textbooks, reports; searching, analysis, findings, study, hypothesis; internet, investigation, journals, discovery, education; facts, evidence, biology, history, psychology; teamwork, citations, thesis, results, presentation; technology, innovation, reading, peer review, statistics; academic, exploration, questions, answers, understanding; methodology, articles, experiment, knowledge, conclusions; sources, detailed, curiosity, learning, school project."
female,high school,research,22,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'research'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Library, experiments, internet, science class, books; data, analysis, reading, learning, science journals; university, study, laboratory, project, information; reports, Google, studies, academic, discovery; knowledge, investigation, thesis, proof, exploration; subjects, testing, results, curiosity, education; articles, innovation, search engine, hypothesis, fact-checking; surveys, statistics, scholarly articles, field work, documentation; interviews, case studies, peer review, journals, theory; browsing, methodology, evidence, publication, data collection."
female,high school,research,22,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'research'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Libraries, science projects, online search, statistics, surveys; Books, experiments, university, lab coats, data analysis; Internet, Google, study, experiments, articles; College, thesis, reading, investigation, education; Scientists, laboratory, hypothesis, findings, journals; Reports, data, investigation, knowledge, discovery; Academic papers, libraries, reading, study groups, references; Search engines, data collection, methodology, results, discussions; Field work, observations, theory, research papers, conferences; Literature review, interviews, questionnaires, analysis, abstracts."
female,high school,wisdom,22,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'wisdom'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"elderly, experience, books, reflection, patience; grandparents, wise sayings, life lessons, understanding, peace; knowledge, maturity, intuition, guidance, learning from mistakes; mentor, depth, ancient texts, advice, time; history, philosophy, nature, self-awareness, empathy; teachers, mindfulness, proverbs, growth, resilience; sage, discernment, cultural stories, introspection, listening; library, spirituality, ancestors, critical thinking, compassion; problem-solving, curiosity, folklore, meditation, foresight; traditions, counselling, inner strength, adaptability, observation."
female,high school,wisdom,22,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'wisdom'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"age, experience, books, knowledge, understanding; grandparents, wise sayings, libraries, quiet, reflection; elders, advice, learning from mistakes, history, insight; owls, proverbs, teachers, philosophy, maturity; life lessons, patience, listening, empathy, sagacity; meditation, peace, clarity, intuition, foresight; ancient texts, spiritual leaders, counseling, discernment, perspective; curiosity, self-awareness, growth, adaptability, contemplation; nature, storytelling, simplicity, mindfulness, culture; resilience, open-mindedness, thoughtfulness, innovation, tradition."
female,high school,wisdom,22,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'wisdom'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"elderly, experience, books, patience, reflection; teachers, advice, nature, history, introspection; owls, grandparents, libraries, mentors, peace; understanding, spirituality, proverbs, growth, empathy; knowledge, contemplation, ancient, learning, maturity; philosophy, sage, intuition, resilience, listening; cultures, meditation, stories, innovation, humility; leadership, ethics, enlightenment, curiosity, compassion; time, adaptability, tradition, foresight, balance; judgment, insight, life lessons, awareness, connection."
female,high school,innovation,21,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'innovation'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Technology, creativity, progress, invention, new ideas; smartphones, internet, Tesla, AI, space exploration; renewable energy, electric cars, smart homes, 5G, robotics; healthcare advancements, telemedicine, biotechnology, wearable technology, genetic editing; social media, e-commerce, digital marketing, streaming services, virtual reality; work from home, video conferencing, cloud computing, cybersecurity, online education; sustainable agriculture, water purification, recycling, zero waste, sustainable fashion; financial tech, mobile banking, blockchain, cryptocurrency, online trading; public transportation improvements, high-speed trains, electric scooters, car sharing, smart cities; 3D printing, nanotechnology, materials science, quantum computing, exploration drones."
female,high school,innovation,21,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'innovation'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Technology, creativity, progress, new ideas, invention; 

Change, advancements, future, exploration, improvement; 

Startups, entrepreneurship, science, research, development; 

Solutions, breakthroughs, invention, efficiency, modernization; 

Computers, internet, smartphones, apps, social media; 

Healthcare, medicine, vaccines, treatment, biotechnology; 

Energy, sustainability, green technology, electric cars, solar panels; 

Education, online learning, e-books, interactive software, virtual classrooms; 

Space, satellites, NASA, SpaceX, exploration; 

Artificial Intelligence, machine learning, robotics, automation, data analysis."
female,high school,innovation,21,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'innovation'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Technology, creativity, Silicon Valley, smart homes, renewable energy; new inventions, progress, research and development, Elon Musk, artificial intelligence; startups, crowdfunding, patents, futuristic, space exploration; medical breakthroughs, electric vehicles, sustainability, 3D printing, internet of things; robotics, nanotechnology, virtual reality, biotechnology, automation; social media, mobile apps, cloud computing, blockchain, wireless charging; clean energy, genetic engineering, quantum computing, augmented reality, big data; driverless cars, wearable technology, machine learning, cybersecurity, e-commerce; digital transformation, Internet speed, global connectivity, smart cities, STEM education; coding, drones, personalized medicine, telemedicine, fintech."
female,high school,learning,21,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'learning'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Books, classrooms, teachers, homework, exams; Knowledge, college, online courses, study groups, graduation; Reading, writing, math, history, science; Libraries, education, students, diplomas, lectures; Courses, learning apps, essays, quizzes, presentations; Skills, vocational training, adult education, GED, certifications; Self-improvement, personal development, curiosity, lifelong learning, seminars; E-learning, webinars, podcasts, YouTube tutorials, MOOCs; Apprenticeships, job training, professional development, conferences, workshops; Discussion, debate, research, project-based learning, field trips."
female,high school,learning,21,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'learning'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Books, classroom, exams, teachers, homework; Growth, knowledge, understanding, curiosity, exploration; Online courses, tutorials, webinars, e-books, forums; Grades, report cards, performance, achievements, failure; Lectures, discussions, group work, presentations, projects; Libraries, research, articles, studies, papers; Skills development, vocational training, apprenticeships, workshops, seminars; Innovation, technology, digital classrooms, virtual reality, interactive learning; Mind maps, note-taking, studying, revision, memorization; Personal development, life lessons, experiences, travel, mentorship."
female,high school,learning,21,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'learning'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Books, classroom, studying, exams, teacher; online courses, homework, discussions, essays, grades; curiosity, knowledge, education, graduation, diploma; library, research, projects, presentations, group work; e-learning, videos, webinars, quizzes, certificates; reading, note-taking, analysis, comprehension, review; mentors, apprenticeships, workshops, seminars, conferences; learning styles, visual aids, hands-on experience, memorization, practice; brainstorming, creativity, innovation, critical thinking, problem-solving; lifelong learning, self-improvement, professional development, skills enhancement, personal growth."
female,high school,puzzles,20,2,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'puzzles'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Jigsaw pieces, brain teasers, Sudoku, crosswords, escape rooms; problem-solving, family game night, concentration, satisfaction, Rubik's cube; logic puzzles, word searches, brain exercise, patience, challenge; fun, teamwork, strategy, accomplishment, mental workout; riddles, IQ tests, board games, education, entertainment; mystery, creativity, analysis, hobby, competition; memory, learning, curiosity, relaxation, bonding; complexity, innovation, solution, achievement, enjoyment; trivia, codes, lateral thinking, math puzzles, puzzles books; concentration, detective stories, patience, 3D puzzles, puzzle apps."
female,high school,puzzles,20,2,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'puzzles'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Jigsaw, Sudoku, crossword, brainteaser, Rubik's cube; mystery novels, game night, relaxing, brain exercise, challenge; family time, strategy, patience, accomplishment, fun; logic games, escape rooms, riddles, learning, entertainment; problem-solving, creativity, memory, teamwork, educational; word search, board games, math puzzles, concentration, satisfaction; puzzles pieces, thinking, competition, hobby, IQ tests; picture puzzles, trivia, codes, adventure, discovery; concentration, mental agility, curiosity, achievement, variety; interactive, online puzzles, innovation, logic, skill-building."
female,high school,logic,19,2,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'logic'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Reasoning, Mathematics, Puzzles, Problem-solving, Clear thinking; Deduction, Arguments, Philosophy, Computer Science, Spock; Brain, Rationality, Decisions, Critical thinking, Analysis; Patterns, Sequence, Cause and effect, Intelligence, Proof; Rules, System, Structure, Methodical, Binary; Facts, Evidence, Science, Thought, Consistency; Planning, Strategy, Chess, Algorithm, Programming; Understanding, Learning, Education, Knowledge, Perspective; Order, Logic gates, Circuit, Computation, Validity; Theory, Process, Syllogism, Formal, Abstract."
female,high school,logic,19,2,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'logic'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Critical thinking, reasoning, mathematics, puzzles, cause and effect; Arguments, deduction, philosophy, science, syllogism; Decision making, problem solving, rationality, brain, intelligence; Rules, order, sequence, clarity, understanding; Patterns, analysis, inference, truth, objectivity; Computer programming, algorithms, code, technology, binary; Facts, evidence, conclusions, debate, proof; Strategy, chess, games, plans, tactics; Learning, education, knowledge, study, curiosity; Logic gates, circuits, electronics, engineering, computer science."
female,high school,books,17,2,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'books'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Escape, Adventure, Knowledge, Libraries, Quiet; Romance, Fantasy, Mystery, Book Club, Relaxation; Learning, Education, Textbooks, Study, College; Imagination, Creativity, Fiction, Non-Fiction, Authors; Pages, Hardcover, E-Reader, Audiobooks, Bookstores; History, Biographies, Science, Technology, Nature; Characters, Plot, Setting, Genre, Series; Writing, Journaling, Publishing, Bestsellers, Critics; Poetry, Classic Literature, Modern Novels, Essays, Anthologies; Empowerment, Self-Help, Motivation, Psychology, Wellness"
female,high school,books,17,2,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'books'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Libraries, adventure, learning, paperback, relaxation; Novels, education, book clubs, e-reader, fantasy; Reading, bestsellers, authors, fiction, self-help; Literature, pages, bookmarks, history, mystery; Stories, imagination, knowledge, romance, science fiction; School, textbooks, study, biography, non-fiction; Escape, characters, creativity, bookstores, thrillers; Poetry, classics, reading nook, inspiration, journals; Characters, series, language, young adult, detective; Empowerment, essays, culture, audiobooks, psychology."
female,high school,mathematics,17,2,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'mathematics'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Numbers, algebra, geometry, calculations, exams; Homework, equations, Pythagoras theorem, calculus, frustration; Problem-solving, logic, statistics, graphs, fear; Basics, addition, subtraction, multiplication, division; Teachers, formulas, trigonometry, measurement, school; Math competitions, anxiety, learning, quadratic equations, mental math; Fractions, decimals, percentages, arithmetic, challenge; Textbooks, exams, curiosity, education, success; Patterns, puzzles, brain teasers, intelligence, creativity; Linear functions, differentials, integrals, academic achievement, determination."
female,high school,mathematics,17,2,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'mathematics'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Algebra, Calculus, Homework, Pythagorean theorem, Graph paper; Numbers, Geometry, Fractions, Exams, Formulas; Challenges, Problem-solving, Textbooks, Equations, Trigonometry; Measurement, Statistics, Teachers, Analysis, Theorems; School, Logic, Functions, Multiplication, Division; Fear, Interest, STEM, Algebraic expressions, Group projects; Learning, Potential, Calculators, Symmetry, Percentages; Real-world applications, Puzzles, Educational games, Intelligence, Skills; Anxiety, Curiosity, Quizzes, Patterns, Mental math; Confidence, Technology, Innovations, Financial literacy, Graphs."
female,high school,technology,17,2,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'technology'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"smartphones, internet, social media, artificial intelligence, computers; gadgets, innovation, virtual reality, video games, online shopping; robotics, apps, coding, distance learning, cybersecurity; streaming services, cloud storage, e-books, digital cameras, GPS navigation; wireless technology, Bluetooth, renewable energy, electric cars, space exploration; home automation, smartwatches, laptops, tablets, machine learning; 3D printing, biotechnology, health apps, telemedicine, remote work; data analysis, blockchain, cryptocurrency, quantum computing, augmented reality; YouTube, podcasts, wearable tech, digital art, satellites; programming languages, web development, search engines, e-commerce, digital marketing."
female,high school,technology,17,2,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'technology'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Smartphones, computers, internet, social media, apps; innovation, Silicon Valley, coding, virtual reality, electric cars; laptops, tablets, e-readers, video games, streaming services; robotics, artificial intelligence, space exploration, biotech, nanotechnology; telecommunication, satellites, GPS, bluetooth, wireless charging; online shopping, digital photography, music streaming, cloud storage, cybersecurity; automation, remote work, telehealth, online education, smart homes; green energy, electric scooters, drones, wearable tech, 3D printing; data analysis, machine learning, quantum computing, blockchain, big data; gadgets, tech support, user-friendly interfaces, software updates, tech trends."
