gender,education,cue,response,response_position
female,high school,knowledge,teachers,3
female,high school,knowledge,university,4
female,high school,knowledge,enlightenment,5
female,high school,knowledge,Information,1
female,high school,knowledge,discovery,2
female,high school,knowledge,curiosity,3
female,high school,knowledge,learning platforms,4
female,high school,knowledge,exploration,5
female,high school,knowledge,Knowledge is power,1
female,high school,knowledge,growth,2
female,high school,knowledge,self-improvement,3
female,high school,knowledge,critical thinking,4
female,high school,knowledge,innovation,5
female,high school,knowledge,History,1
female,high school,knowledge,documentaries,2
female,high school,knowledge,mentors,3
female,high school,knowledge,seminars,4
female,high school,knowledge,workshops,5
female,high school,knowledge,Encyclopedias,1
female,high school,knowledge,academic journals,2
female,high school,knowledge,thesis,3
female,high school,knowledge,dissertations,4
female,high school,knowledge,scholars,5
female,high school,knowledge,Intelligence,1
female,high school,knowledge,understanding,2
female,high school,knowledge,insight,3
female,high school,knowledge,awareness,4
female,high school,knowledge,perception,5
female,high school,knowledge,Skills,1
female,high school,knowledge,trades,2
female,high school,knowledge,vocational training,3
female,high school,knowledge,apprenticeships,4
female,high school,knowledge,expertise,5
female,high school,knowledge,Creativity,1
female,high school,knowledge,imagination,2
female,high school,knowledge,problem-solving,3
female,high school,knowledge,analytical thinking,4
female,high school,knowledge,reasoning,5
female,high school,knowledge,Books,1
female,high school,knowledge,education,2
female,high school,knowledge,wisdom,3
female,high school,knowledge,school,4
female,high school,knowledge,research,5
female,high school,knowledge,Learning,1
female,high school,knowledge,teachers,2
female,high school,knowledge,library,3
female,high school,knowledge,study,4
female,high school,knowledge,enlightenment,5
female,high school,knowledge,University,1
female,high school,knowledge,knowledge is power,2
female,high school,knowledge,intelligence,3
female,high school,knowledge,science,4
female,high school,knowledge,curiosity,5
female,high school,knowledge,Information,1
female,high school,knowledge,reading,2
female,high school,knowledge,facts,3
female,high school,knowledge,degrees,4
female,high school,knowledge,scholars,5
female,high school,knowledge,Discovery,1
female,high school,knowledge,understanding,2
female,high school,knowledge,learning from mistakes,3
female,high school,knowledge,experience,4
female,high school,knowledge,mentors,5
female,high school,knowledge,Textbooks,1
female,high school,knowledge,online courses,2
female,high school,knowledge,documentaries,3
female,high school,knowledge,history,4
female,high school,knowledge,literature,5
female,high school,knowledge,Innovation,1
female,high school,knowledge,questioning,2
female,high school,knowledge,critical thinking,3
female,high school,knowledge,academia,4
female,high school,knowledge,expertise,5
female,high school,knowledge,Classes,1
female,high school,knowledge,seminars,2
female,high school,knowledge,workshops,3
female,high school,knowledge,college,4
female,high school,knowledge,training,5
female,high school,knowledge,Professors,1
female,high school,knowledge,exams,2
female,high school,knowledge,essays,3
female,high school,knowledge,thesis,4
female,high school,knowledge,graduation,5
female,high school,knowledge,Knowledge-sharing,1
female,high school,knowledge,internet,2
female,high school,knowledge,forums,3
female,high school,knowledge,debates,4
female,high school,knowledge,lifelong learning,5
female,high school,knowledge,Libraries,1
female,high school,knowledge,reading,2
female,high school,knowledge,studying,3
female,high school,knowledge,internet,4
female,high school,knowledge,teachers,5
female,high school,knowledge,wisdom,1
female,high school,knowledge,books,2
female,high school,knowledge,education,3
female,high school,knowledge,research,4
female,high school,knowledge,degrees,5
female,high school,knowledge,school,1
female,high school,knowledge,professors,2
female,high school,knowledge,science,3
female,high school,knowledge,history,4
female,high school,knowledge,knowledge is power,5
female,high school,knowledge,encyclopedias,1
female,high school,knowledge,documentaries,2
female,high school,knowledge,discovery,3
female,high school,knowledge,learning,4
female,high school,knowledge,curiosity,5
female,high school,knowledge,experience,1
female,high school,knowledge,critical thinking,2
female,high school,knowledge,information,3
female,high school,knowledge,understanding,4
female,high school,knowledge,insight,5
female,high school,knowledge,lectures,1
female,high school,knowledge,seminars,2
female,high school,knowledge,textbooks,3
female,high school,knowledge,education system,4
female,high school,knowledge,high school,5
female,high school,knowledge,exploration,1
female,high school,knowledge,questions,2
female,high school,knowledge,discussions,3
female,high school,knowledge,essays,4
female,high school,knowledge,college,5
female,high school,knowledge,intelligence,1
female,high school,knowledge,IQ,2
female,high school,knowledge,academic journals,3
female,high school,knowledge,innovation,4
female,high school,knowledge,technology,5
female,high school,knowledge,mastery,1
female,high school,knowledge,expert,2
female,high school,knowledge,skills,3
female,high school,knowledge,training,4
female,high school,knowledge,lifelong learning,5
female,high school,knowledge,classes,1
female,high school,knowledge,diplomas,2
female,high school,knowledge,certificates,3
female,high school,knowledge,apprenticeships,4
female,high school,knowledge,vocational training,5
female,high school,problem-solving,Critical thinking,1
female,high school,problem-solving,puzzles,2
female,high school,problem-solving,teamwork,3
female,high school,problem-solving,challenges,4
female,high school,problem-solving,creativity,5
female,high school,problem-solving,brainstorming,1
female,high school,problem-solving,solutions,2
female,high school,problem-solving,communication,3
female,high school,problem-solving,patience,4
female,high school,problem-solving,research,5
female,high school,problem-solving,analytical thinking,1
female,high school,problem-solving,planning,2
female,high school,problem-solving,decision making,3
female,high school,problem-solving,trial and error,4
female,high school,problem-solving,flexibility,5
female,high school,problem-solving,negotiation,1
female,high school,problem-solving,innovation,2
female,high school,problem-solving,strategy,3
female,high school,problem-solving,perseverance,4
female,high school,problem-solving,collaboration,5
female,high school,problem-solving,education,1
female,high school,problem-solving,studying,2
female,high school,problem-solving,math problems,3
female,high school,problem-solving,logic,4
female,high school,problem-solving,resourcefulness,5
female,high school,problem-solving,adaptability,1
female,high school,problem-solving,curiosity,2
female,high school,problem-solving,asking for help,3
female,high school,problem-solving,listening,4
female,high school,problem-solving,leadership,5
female,high school,problem-solving,organization,1
female,high school,problem-solving,goal setting,2
female,high school,problem-solving,troubleshooting,3
female,high school,problem-solving,mediation,4
female,high school,problem-solving,observation,5
female,high school,problem-solving,experimentation,1
female,high school,problem-solving,ambition,2
female,high school,problem-solving,self-learning,3
female,high school,problem-solving,reflection,4
female,high school,problem-solving,intuition,5
female,high school,problem-solving,determination,1
female,high school,problem-solving,conflict resolution,2
female,high school,problem-solving,time management,3
female,high school,problem-solving,curiosity,4
female,high school,problem-solving,optimization,5
female,high school,problem-solving,empathy,1
female,high school,problem-solving,understanding,2
female,high school,problem-solving,knowledge,3
female,high school,problem-solving,multitasking,4
female,high school,problem-solving,foresight,5
female,high school,problem-solving,Brainstorming,1
female,high school,problem-solving,puzzles,2
female,high school,problem-solving,math problems,3
female,high school,problem-solving,teamwork,4
female,high school,problem-solving,creativity,5
female,high school,problem-solving,Communication,1
female,high school,problem-solving,research,2
female,high school,problem-solving,strategy,3
female,high school,problem-solving,trial and error,4
female,high school,problem-solving,critical thinking,5
female,high school,problem-solving,Patience,1
female,high school,problem-solving,solution-focused,2
female,high school,problem-solving,negotiation,3
female,high school,problem-solving,analysis,4
female,high school,problem-solving,decision making,5
female,high school,problem-solving,Logical thinking,1
female,high school,problem-solving,observation,2
female,high school,problem-solving,adaptability,3
female,high school,problem-solving,perseverance,4
female,high school,problem-solving,asking for help,5
female,high school,problem-solving,Innovation,1
female,high school,problem-solving,collaboration,2
female,high school,problem-solving,learning from mistakes,3
female,high school,problem-solving,organization,4
female,high school,problem-solving,leadership,5
female,high school,problem-solving,Stress management,1
female,high school,problem-solving,goal setting,2
female,high school,problem-solving,curiosity,3
female,high school,problem-solving,time management,4
female,high school,problem-solving,flexibility,5
female,high school,problem-solving,Empathy,1
female,high school,problem-solving,conflict resolution,2
female,high school,problem-solving,positive attitude,3
female,high school,problem-solving,determination,4
female,high school,problem-solving,resourcefulness,5
female,high school,problem-solving,Planning,1
female,high school,problem-solving,listening,2
female,high school,problem-solving,detail-oriented,3
female,high school,problem-solving,intuition,4
female,high school,problem-solving,prioritization,5
female,high school,problem-solving,Visualization,1
female,high school,problem-solving,motivation,2
female,high school,problem-solving,self-discipline,3
female,high school,problem-solving,open-mindedness,4
female,high school,problem-solving,reflection,5
female,high school,problem-solving,Risk assessment,1
female,high school,problem-solving,project management,2
female,high school,problem-solving,coding,3
female,high school,problem-solving,mentoring,4
female,high school,problem-solving,consult literature,5
female,high school,problem-solving,Critical thinking,1
female,high school,problem-solving,brainstorming,2
female,high school,problem-solving,teamwork,3
female,high school,problem-solving,research,4
female,high school,problem-solving,persistence,5
female,high school,problem-solving,Creativity,1
female,high school,problem-solving,patience,2
female,high school,problem-solving,trial and error,3
female,high school,problem-solving,solution,4
female,high school,problem-solving,satisfaction,5
female,high school,problem-solving,Decision making,1
female,high school,problem-solving,asking for help,2
female,high school,problem-solving,strategy,3
female,high school,problem-solving,adaptability,4
female,high school,problem-solving,success,5
female,high school,problem-solving,Analysis,1
female,high school,problem-solving,logic,2
female,high school,problem-solving,communication,3
female,high school,problem-solving,negotiation,4
female,high school,problem-solving,challenge,5
female,high school,problem-solving,Planning,1
female,high school,problem-solving,organization,2
female,high school,problem-solving,multitasking,3
female,high school,problem-solving,focus,4
female,high school,problem-solving,learning,5
female,high school,problem-solving,Detail-oriented,1
female,high school,problem-solving,proactive,2
female,high school,problem-solving,open-mindedness,3
female,high school,problem-solving,curiosity,4
female,high school,problem-solving,resilience,5
female,high school,problem-solving,Leadership,1
female,high school,problem-solving,goal-setting,2
female,high school,problem-solving,empathy,3
female,high school,problem-solving,conflict resolution,4
female,high school,problem-solving,achievement,5
female,high school,problem-solving,Deduction,1
female,high school,problem-solving,intuition,2
female,high school,problem-solving,collaboration,3
female,high school,problem-solving,innovation,4
female,high school,problem-solving,determination,5
female,high school,problem-solving,Independence,1
female,high school,problem-solving,education,2
female,high school,problem-solving,self-improvement,3
female,high school,problem-solving,feedback,4
female,high school,problem-solving,optimization,5
female,high school,problem-solving,Initiative,1
female,high school,problem-solving,resourcefulness,2
female,high school,problem-solving,analytical skills,3
female,high school,problem-solving,motivation,4
female,high school,problem-solving,accomplishment,5
female,high school,creativity,Art,1
female,high school,creativity,music,2
female,high school,creativity,writing,3
female,high school,creativity,invention,4
female,high school,creativity,imagination,5
female,high school,creativity,Painting,1
female,high school,creativity,poetry,2
female,high school,creativity,design,3
female,high school,creativity,brainstorming,4
female,high school,creativity,innovation,5
female,high school,creativity,Crafting,1
female,high school,creativity,drawing,2
female,high school,creativity,problem-solving,3
female,high school,creativity,dance,4
female,high school,creativity,graffiti,5
female,high school,creativity,Sculpture,1
female,high school,creativity,fashion,2
female,high school,creativity,photography,3
female,high school,creativity,cooking,4
female,high school,creativity,digital art,5
female,high school,creativity,Jewelry-making,1
female,high school,creativity,storytelling,2
female,high school,creativity,theater,3
female,high school,creativity,landscaping,4
female,high school,creativity,mural painting,5
female,high school,creativity,Sketching,1
female,high school,creativity,singing,2
female,high school,creativity,origami,3
female,high school,creativity,quilting,4
female,high school,creativity,pottery,5
female,high school,creativity,Improvisation,1
female,high school,creativity,blogging,2
female,high school,creativity,makeup artistry,3
female,high school,creativity,interior decorating,4
female,high school,creativity,DIY projects,5
female,high school,creativity,Animation,1
female,high school,creativity,calligraphy,2
female,high school,creativity,woodworking,3
female,high school,creativity,video editing,4
female,high school,creativity,costume design,5
female,high school,creativity,Upcycling,1
female,high school,creativity,embroidery,2
female,high school,creativity,baking,3
female,high school,creativity,filmmaking,4
female,high school,creativity,collage,5
female,high school,creativity,Knitting,1
female,high school,creativity,web design,2
female,high school,creativity,puppetry,3
female,high school,creativity,floral arrangement,4
female,high school,creativity,novel writing,5
female,high school,creativity,Painting,1
female,high school,creativity,writing,2
female,high school,creativity,music composition,3
female,high school,creativity,dance,4
female,high school,creativity,fashion design,5
female,high school,creativity,innovation,1
female,high school,creativity,brainstorming,2
female,high school,creativity,problem-solving,3
female,high school,creativity,imagination,4
female,high school,creativity,art classes,5
female,high school,creativity,color palettes,1
female,high school,creativity,clay modeling,2
female,high school,creativity,graphic design,3
female,high school,creativity,poetry,4
female,high school,creativity,DIY projects,5
female,high school,creativity,crafting,1
female,high school,creativity,photography,2
female,high school,creativity,interior design,3
female,high school,creativity,makeup artistry,4
female,high school,creativity,storytelling,5
female,high school,creativity,drawing,1
female,high school,creativity,film making,2
female,high school,creativity,theater acting,3
female,high school,creativity,costume design,4
female,high school,creativity,culinary arts,5
female,high school,creativity,sketching,1
female,high school,creativity,novel writing,2
female,high school,creativity,piano playing,3
female,high school,creativity,ballet,4
female,high school,creativity,web design,5
female,high school,creativity,mural creation,1
female,high school,creativity,scrapbooking,2
female,high school,creativity,jewelry making,3
female,high school,creativity,animation,4
female,high school,creativity,songwriting,5
female,high school,creativity,pottery,1
female,high school,creativity,quilting,2
female,high school,creativity,woodworking,3
female,high school,creativity,architecture,4
female,high school,creativity,game development,5
female,high school,creativity,collage,1
female,high school,creativity,blogging,2
female,high school,creativity,videography,3
female,high school,creativity,digital illustration,4
female,high school,creativity,voice acting,5
female,high school,creativity,origami,1
female,high school,creativity,embroidery,2
female,high school,creativity,stand-up comedy,3
female,high school,creativity,sculpture,4
female,high school,creativity,scriptwriting,5
female,high school,creativity,Art,1
female,high school,creativity,music,2
female,high school,creativity,writing,3
female,high school,creativity,innovation,4
female,high school,creativity,imagination,5
female,high school,creativity,painting,1
female,high school,creativity,poetry,2
female,high school,creativity,design,3
female,high school,creativity,problem-solving,4
female,high school,creativity,ingenuity,5
female,high school,creativity,fashion,1
female,high school,creativity,dance,2
female,high school,creativity,sculpture,3
female,high school,creativity,brainstorming,4
female,high school,creativity,crafting,5
female,high school,creativity,invention,1
female,high school,creativity,storytelling,2
female,high school,creativity,drawing,3
female,high school,creativity,theater,4
female,high school,creativity,experimentation,5
female,high school,creativity,photography,1
female,high school,creativity,cooking,2
female,high school,creativity,improvisation,3
female,high school,creativity,video games,4
female,high school,creativity,decorating,5
female,high school,creativity,architecture,1
female,high school,creativity,makeup,2
female,high school,creativity,gardening,3
female,high school,creativity,filmmaking,4
female,high school,creativity,daydreaming,5
female,high school,creativity,knitting,1
female,high school,creativity,jewelry making,2
female,high school,creativity,DJing,3
female,high school,creativity,blogging,4
female,high school,creativity,repurposing,5
female,high school,creativity,embroidery,1
female,high school,creativity,graphic design,2
female,high school,creativity,comedy,3
female,high school,creativity,animation,4
female,high school,creativity,web design,5
female,high school,creativity,mural making,1
female,high school,creativity,ceramics,2
female,high school,creativity,coding,3
female,high school,creativity,puppetry,4
female,high school,creativity,collage making,5
female,high school,creativity,singing,1
female,high school,creativity,sketching,2
female,high school,creativity,upcycling,3
female,high school,creativity,DIY projects,4
female,high school,creativity,quilting,5
female,high school,critical thinking,Problem-solving,1
female,high school,critical thinking,Analysis,2
female,high school,critical thinking,Decision-making,3
female,high school,critical thinking,Logic,4
female,high school,critical thinking,Skepticism,5
female,high school,critical thinking,Curiosity,1
female,high school,critical thinking,Independent thinking,2
female,high school,critical thinking,Evidence,3
female,high school,critical thinking,Rationality,4
female,high school,critical thinking,Objective,5
female,high school,critical thinking,Open-mindedness,1
female,high school,critical thinking,Creativity,2
female,high school,critical thinking,Reflective thinking,3
female,high school,critical thinking,Judgement,4
female,high school,critical thinking,Clarity,5
female,high school,critical thinking,Information evaluation,1
female,high school,critical thinking,Insight,2
female,high school,critical thinking,Perspective,3
female,high school,critical thinking,Dissection,4
female,high school,critical thinking,Understanding,5
female,high school,critical thinking,Debate,1
female,high school,critical thinking,Inquiry,2
female,high school,critical thinking,Introspection,3
female,high school,critical thinking,Innovation,4
female,high school,critical thinking,Reason,5
female,high school,critical thinking,Arguments,1
female,high school,critical thinking,Evaluation,2
female,high school,critical thinking,Depth of understanding,3
female,high school,critical thinking,Coherence,4
female,high school,critical thinking,Perspective-taking,5
female,high school,critical thinking,Judgment,1
female,high school,critical thinking,Bias identification,2
female,high school,critical thinking,Fact-checking,3
female,high school,critical thinking,Differentiation,4
female,high school,critical thinking,Elaboration,5
female,high school,critical thinking,Questioning,1
female,high school,critical thinking,Scrutiny,2
female,high school,critical thinking,Comprehension,3
female,high school,critical thinking,Synthesis,4
female,high school,critical thinking,Interpretation,5
female,high school,critical thinking,Cognitive skills,1
female,high school,critical thinking,Analytical ability,2
female,high school,critical thinking,Intellectual discipline,3
female,high school,critical thinking,Deduction,4
female,high school,critical thinking,Assessment,5
female,high school,critical thinking,Challenging assumptions,1
female,high school,critical thinking,Structured thinking,2
female,high school,critical thinking,Critical discourse,3
female,high school,critical thinking,Analyzing information,4
female,high school,critical thinking,Self-awareness,5
female,high school,critical thinking,Analysis,1
female,high school,critical thinking,problem-solving,2
female,high school,critical thinking,judgement,3
female,high school,critical thinking,research,4
female,high school,critical thinking,open-mindedness,5
female,high school,critical thinking,Decision making,1
female,high school,critical thinking,logic,2
female,high school,critical thinking,questioning,3
female,high school,critical thinking,evaluation,4
female,high school,critical thinking,skepticism,5
female,high school,critical thinking,Reflection,1
female,high school,critical thinking,debate,2
female,high school,critical thinking,understanding,3
female,high school,critical thinking,curiosity,4
female,high school,critical thinking,evidence,5
female,high school,critical thinking,Perspective,1
female,high school,critical thinking,reasoning,2
female,high school,critical thinking,clarity,3
female,high school,critical thinking,innovation,4
female,high school,critical thinking,discernment,5
